ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20190102,9.39,9.42,9.16,9.19,9.38,-0.19,-2.03,539386.32,498695.11
000001.SZ,20190103,9.18,9.33,9.15,9.28,9.19,0.09,0.98,415537.95,384457.71
000001.SZ,20190104,9.24,9.82,9.22,9.75,9.28,0.47,5.06,1481159.06,1422149.89
000001.SZ,20190107,9.84,9.85,9.63,9.74,9.75,-0.01,-0.10,865687.66,841166.43
000001.SZ,20190108,9.73,9.74,9.62,9.66,9.74,-0.08,-0.82,402388.11,389247.80
000001.SZ,20190109,9.74,10.08,9.7,9.94,9.66,0.28,2.90,1233486.36,1229465.12
000001.SZ,20190110,9.87,10.2,9.86,10.1,9.94,0.16,1.61,1071817.66,1079711.04
000001.SZ,20190111,10.11,10.22,10.05,10.2,10.1,0.1,0.99,696364.55,708001.80
000001.SZ,20190114,10.22,10.25,10.07,10.11,10.2,-0.09,-0.88,500443.59,507862.88
000001.SZ,20190115,10.11,10.28,10.09,10.24,10.11,0.13,1.29,542160.55,553027.31
000001.SZ,20190116,10.24,10.5,10.23,10.48,10.24,0.24,2.34,977699.37,1017495.12
000001.SZ,20190117,10.54,10.57,10.17,10.25,10.48,-0.23,-2.19,882811.92,910212.07
000001.SZ,20190118,10.34,10.49,10.28,10.43,10.25,0.18,1.76,738793.26,769973.64
000001.SZ,20190121,10.34,10.47,10.32,10.34,10.43,-0.09,-0.86,659355.76,684465.65
000001.SZ,20190122,10.34,10.44,10.26,10.28,10.34,-0.06,-0.58,424413.57,438991.45
000001.SZ,20190123,10.29,10.47,10.29,10.35,10.28,0.07,0.68,537876.63,559384.40
000001.SZ,20190124,10.4,10.55,10.37,10.52,10.35,0.17,1.64,679240.88,711495.72
000001.SZ,20190125,10.56,11.04,10.55,11,10.52,0.48,4.56,2108361.85,2299718.22
000001.SZ,20190128,11.04,11.14,10.88,10.94,11,-0.06,-0.55,1035909.80,1141853.83
000001.SZ,20190129,10.96,11.07,10.77,11,10.94,0.06,0.55,826631.10,904847.85
000001.SZ,20190130,10.95,11.18,10.86,10.95,11,-0.05,-0.45,712001.01,785204.57
000001.SZ,20190131,10.98,11.2,10.94,11.1,10.95,0.15,1.37,831622.75,922602.87
000001.SZ,20190201,11.2,11.25,10.96,11.2,11.1,0.1,0.90,1014270.07,1127216.19
000001.SZ,20190211,11.08,11.21,10.97,11.21,11.2,0.01,0.09,801936.63,889951.53
000001.SZ,20190212,11.2,11.31,11.03,11.19,11.21,-0.02,-0.18,959936.90,1071873.08
000001.SZ,20190213,11.19,11.41,11.12,11.38,11.19,0.19,1.70,1137365.74,1280182.10
000001.SZ,20190214,11.3,11.33,11.19,11.25,11.38,-0.13,-1.14,869185.19,977818.10
000001.SZ,20190215,11.23,11.23,10.9,10.95,11.25,-0.3,-2.67,1100127.46,1213914.43
000001.SZ,20190218,11.05,11.36,11.04,11.36,10.95,0.41,3.74,1255522.21,1408279.68
000001.SZ,20190219,11.36,11.62,11.24,11.27,11.36,-0.09,-0.79,1270882.04,1445281.38
